dcode,governorate,seats,seats_wom,per_wom,num_parties,num_hwom,headwom_di,valid_votes,seat_votes,noseat_votes,NT_vote,NT_seat,EN_vote,EN_seat,UPL_vote,UPL_seat,PF_vote,PF_seat,AF_vote,AF_seat,CPR_vote,CPR_seat,DC_vote,DC_seat,PM_vote,PM_seat,NDI_vote,NDI_seat,CL_vote,CL_seat,Other_vote,Other_seat,num_odd,share_odd,num_oddH,share_oddH
1,Tunis,17,7,0.411764706,6,2,1,"377,505","304,491","73,014","175,340",8,"95,593",5,"20,306",1,"11,545",1,"14,135",1,"4,758",0,"11,279",1,"1,126",0,"1,285",0,"1,552",0,"40,583",0,5,0.833333333,4,0.666666667
3,Ariana,8,3,0.375,4,0,0,"176,054","140,638","35,416","82,769",4,"42,459",2,"9,144",1,"4,186",0,"6,266",1,"2,424",0,"4,336",0,960,0,"1,235",0,671,0,"21,604",0,2,0.5,2,0.5
4,Ben Arous,10,3,0.3,5,0,0,"216,231","175,474","40,757","84,359",4,"61,420",3,"12,935",1,"9,534",1,"6,777",0,"3,198",0,"7,226",1,863,0,"1,742",0,945,0,"27,232",0,4,0.8,4,0.8
5,Manouba,7,3,0.428571429,4,1,1,"112,912","83,514","29,398","38,009",3,"33,064",2,"9,460",1,"2,981",1,"2,927",0,"1,515",0,"2,825",0,"1,279",0,"1,302",0,735,0,"18,815",0,3,0.75,2,0.5
6,Jendouba,8,3,0.375,5,1,1,"96,656","72,381","24,275","34,484",3,"19,829",2,"4,084",1,"6,386",1,"1,118",0,"1,041",0,747,0,"1,552",0,475,0,545,0,"26,395",1,4,0.8,3,0.6
7,Kef,6,1,0.166666667,4,0,0,"72,421","55,646","16,775","34,885",3,"12,672",1,"3,069",1,"5,020",1,586,0,949,0,692,0,835,0,617,0,565,0,"12,531",0,4,1,4,1
8,Seliana,6,1,0.166666667,5,0,0,"56,758","40,752","16,006","16,618",2,"10,057",1,"3,362",1,"6,562",1,352,0,673,0,544,0,"1,013",0,770,0,558,0,"16,219",1,4,0.8,4,0.8
9,Bizerte,9,3,0.333333333,4,0,0,"154,388","117,227","37,161","59,968",4,"43,437",3,"8,055",1,"3,614",0,"3,975",0,"2,352",0,"3,958",0,668,0,"1,373",0,"1,005",0,"28,983",1,3,0.75,3,0.75
10,Beja,6,1,0.166666667,4,0,0,"79,446","59,313","20,133","30,457",3,"16,874",1,"4,411",1,"2,582",0,874,0,"1,193",0,"1,023",0,"7,598",1,"1,502",0,466,0,"12,466",0,4,1,4,1
11,Nabeul,13,5,0.384615385,5,3,1,"264,887","203,884","61,003","133,986",7,"52,846",3,"12,962",1,"10,048",1,"10,166",1,"3,118",0,"4,813",0,"1,355",0,"2,227",0,"1,935",0,"31,431",0,5,1,5,1
